"PolicyDisplayName","Id","PolicySection","ConditionName","PropertyName","PropertySetting"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Base","templateId","templateId",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Base","createdDateTime","createdDateTime",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Base","modifiedDateTime","modifiedDateTime","4/29/2024 4:37:43 PM"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Base","state","state","disabled"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","excludeGuestsOrExternalUsersguestOrExternalUserTypes",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","excludeGuestsOrExternalUserstennats",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeGuestsOrExternalUsersguestOrExternalUserTypes",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeGuestsOrExternalUserstennats",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","excludeGroups",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","excludeRoles",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeRoles",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","excludeUsers",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeUsers","4reader"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeUsers","Beth F. Woodard"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","users","includeGroups","Combo PIM Group"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","platforms","excludePlatforms",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","platforms","includePlatforms","all"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","userRiskLevels","userRiskLevels",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","clientAppTypes","clientAppTypes","exchangeActiveSync"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","clientAppTypes","clientAppTypes","other"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","deviceStates","deviceStates",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","locations","locations",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","includeAuthenticationContextClassReferences",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","includeUserActions",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","excludeApplications",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","applicationFilterMode",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","applicationFilterRule",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","applications","includeApplications","All"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","clientApplications","clientApplications",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","signInRiskLevels","signInRiskLevels","high"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","signInRiskLevels","signInRiskLevels","none"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","excludeDeviceStates",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","excludeDevices",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","includeDevices",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","deviceFilterMode","include"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","deviceFilterRule","device.displayName -startsWith ""ugabooga"" -or device.enrollmentProfileName -eq ""deny"" -and device.isCompliant -eq True"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","devices","includeDeviceStates",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","Conditions","times","times",""
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","GrantControls","operator","operator","OR"
"Azure Portal MFA","a3a242ac-ccd8-41b6-8c7f-dd1c631d3af0","GrantControls","customAuthenticationFactors","customAuthenticationFactors",""
